,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0.061310865,0.0747597,0.079110794,0.05300423,0.05300423,0.053399786,0.084253,0.1040307,0.28914994,0.3544203,0.54585654,0.46675766,0.5063051,0.38091844,0.3943752,0.3678652,0.45370042,0.4465804,0.3615324,0.18986985,0.3943594,0.06764369,0.054982,0.084253
1,0.0747597,0.079110794,0.05300423,0.05300423,0.053399786,0.084253,0.1040307,0.28914994,0.3544203,0.54585654,0.46675766,0.5063051,0.38091844,0.3943752,0.3678652,0.45370042,0.4465804,0.3615324,0.18986985,0.3943594,0.06764369,0.054982,0.084253,0.05577311
2,0.079110794,0.05300423,0.05300423,0.053399786,0.084253,0.1040307,0.28914994,0.3544203,0.54585654,0.46675766,0.5063051,0.38091844,0.3943752,0.3678652,0.45370042,0.4465804,0.3615324,0.18986985,0.3943594,0.06764369,0.054982,0.084253,0.05577311,0.05577311
3,0.05300423,0.05300423,0.053399786,0.084253,0.1040307,0.28914994,0.3544203,0.54585654,0.46675766,0.5063051,0.38091844,0.3943752,0.3678652,0.45370042,0.4465804,0.3615324,0.18986985,0.3943594,0.06764369,0.054982,0.084253,0.05577311,0.05577311,0.05577311
4,0.05300423,0.053399786,0.084253,0.1040307,0.28914994,0.3544203,0.54585654,0.46675766,0.5063051,0.38091844,0.3943752,0.3678652,0.45370042,0.4465804,0.3615324,0.18986985,0.3943594,0.06764369,0.054982,0.084253,0.05577311,0.05577311,0.05577311,0.07792413
5,0.053399786,0.084253,0.1040307,0.28914994,0.3544203,0.54585654,0.46675766,0.5063051,0.38091844,0.3943752,0.3678652,0.45370042,0.4465804,0.3615324,0.18986985,0.3943594,0.06764369,0.054982,0.084253,0.05577311,0.05577311,0.05577311,0.07792413,0.060124204
6,0.084253,0.1040307,0.28914994,0.3544203,0.54585654,0.46675766,0.5063051,0.38091844,0.3943752,0.3678652,0.45370042,0.4465804,0.3615324,0.18986985,0.3943594,0.06764369,0.054982,0.084253,0.05577311,0.05577311,0.05577311,0.07792413,0.060124204,0.060124204
7,0.1040307,0.28914994,0.3544203,0.54585654,0.46675766,0.5063051,0.38091844,0.3943752,0.3678652,0.45370042,0.4465804,0.3615324,0.18986985,0.3943594,0.06764369,0.054982,0.084253,0.05577311,0.05577311,0.05577311,0.07792413,0.060124204,0.060124204,0.060519755
8,0.28914994,0.3544203,0.54585654,0.46675766,0.5063051,0.38091844,0.3943752,0.3678652,0.45370042,0.4465804,0.3615324,0.18986985,0.3943594,0.06764369,0.054982,0.084253,0.05577311,0.05577311,0.05577311,0.07792413,0.060124204,0.060124204,0.060519755,0.0644753
9,0.3544203,0.54585654,0.46675766,0.5063051,0.38091844,0.3943752,0.3678652,0.45370042,0.4465804,0.3615324,0.18986985,0.3943594,0.06764369,0.054982,0.084253,0.05577311,0.05577311,0.05577311,0.07792413,0.060124204,0.060124204,0.060519755,0.0644753,0.31842095
