,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0.079546645,0.09197946,0.23119582,0.23782146,0.26736403,0.3192818,0.36432832,0.32009634,0.2540348,0.26752383,0.21595687,0.21599194,0.20227686,0.18360816,0.118559964,0.075961,0.07607792,0.08582151,0.10168407,0.089329205,0.08617228,0.075610235,0.07646767,0.08578254
1,0.09197946,0.23119582,0.23782146,0.26736403,0.3192818,0.36432832,0.32009634,0.2540348,0.26752383,0.21595687,0.21599194,0.20227686,0.18360816,0.118559964,0.075961,0.07607792,0.08582151,0.10168407,0.089329205,0.08617228,0.075610235,0.07646767,0.08578254,0.07919587
2,0.23119582,0.23782146,0.26736403,0.3192818,0.36432832,0.32009634,0.2540348,0.26752383,0.21595687,0.21599194,0.20227686,0.18360816,0.118559964,0.075961,0.07607792,0.08582151,0.10168407,0.089329205,0.08617228,0.075610235,0.07646767,0.08578254,0.07919587,0.08582151
3,0.23782146,0.26736403,0.3192818,0.36432832,0.32009634,0.2540348,0.26752383,0.21595687,0.21599194,0.20227686,0.18360816,0.118559964,0.075961,0.07607792,0.08582151,0.10168407,0.089329205,0.08617228,0.075610235,0.07646767,0.08578254,0.07919587,0.08582151,0.20925328
4,0.26736403,0.3192818,0.36432832,0.32009634,0.2540348,0.26752383,0.21595687,0.21599194,0.20227686,0.18360816,0.118559964,0.075961,0.07607792,0.08582151,0.10168407,0.089329205,0.08617228,0.075610235,0.07646767,0.08578254,0.07919587,0.08582151,0.20925328,0.26432014
5,0.3192818,0.36432832,0.32009634,0.2540348,0.26752383,0.21595687,0.21599194,0.20227686,0.18360816,0.118559964,0.075961,0.07607792,0.08582151,0.10168407,0.089329205,0.08617228,0.075610235,0.07646767,0.08578254,0.07919587,0.08582151,0.20925328,0.26432014,0.32891235
6,0.36432832,0.32009634,0.2540348,0.26752383,0.21595687,0.21599194,0.20227686,0.18360816,0.118559964,0.075961,0.07607792,0.08582151,0.10168407,0.089329205,0.08617228,0.075610235,0.07646767,0.08578254,0.07919587,0.08582151,0.20925328,0.26432014,0.32891235,0.27636322
7,0.32009634,0.2540348,0.26752383,0.21595687,0.21599194,0.20227686,0.18360816,0.118559964,0.075961,0.07607792,0.08582151,0.10168407,0.089329205,0.08617228,0.075610235,0.07646767,0.08578254,0.07919587,0.08582151,0.20925328,0.26432014,0.32891235,0.27636322,0.2631548
8,0.2540348,0.26752383,0.21595687,0.21599194,0.20227686,0.18360816,0.118559964,0.075961,0.07607792,0.08582151,0.10168407,0.089329205,0.08617228,0.075610235,0.07646767,0.08578254,0.07919587,0.08582151,0.20925328,0.26432014,0.32891235,0.27636322,0.2631548,0.23708095
9,0.26752383,0.21595687,0.21599194,0.20227686,0.18360816,0.118559964,0.075961,0.07607792,0.08582151,0.10168407,0.089329205,0.08617228,0.075610235,0.07646767,0.08578254,0.07919587,0.08582151,0.20925328,0.26432014,0.32891235,0.27636322,0.2631548,0.23708095,0.26888794
10,0.21595687,0.21599194,0.20227686,0.18360816,0.118559964,0.075961,0.07607792,0.08582151,0.10168407,0.089329205,0.08617228,0.075610235,0.07646767,0.08578254,0.07919587,0.08582151,0.20925328,0.26432014,0.32891235,0.27636322,0.2631548,0.23708095,0.26888794,0.20460753
11,0.21599194,0.20227686,0.18360816,0.118559964,0.075961,0.07607792,0.08582151,0.10168407,0.089329205,0.08617228,0.075610235,0.07646767,0.08578254,0.07919587,0.08582151,0.20925328,0.26432014,0.32891235,0.27636322,0.2631548,0.23708095,0.26888794,0.20460753,0.17815953
12,0.20227686,0.18360816,0.118559964,0.075961,0.07607792,0.08582151,0.10168407,0.089329205,0.08617228,0.075610235,0.07646767,0.08578254,0.07919587,0.08582151,0.20925328,0.26432014,0.32891235,0.27636322,0.2631548,0.23708095,0.26888794,0.20460753,0.17815953,0.24404956
13,0.18360816,0.118559964,0.075961,0.07607792,0.08582151,0.10168407,0.089329205,0.08617228,0.075610235,0.07646767,0.08578254,0.07919587,0.08582151,0.20925328,0.26432014,0.32891235,0.27636322,0.2631548,0.23708095,0.26888794,0.20460753,0.17815953,0.24404956,0.17815565
14,0.118559964,0.075961,0.07607792,0.08582151,0.10168407,0.089329205,0.08617228,0.075610235,0.07646767,0.08578254,0.07919587,0.08582151,0.20925328,0.26432014,0.32891235,0.27636322,0.2631548,0.23708095,0.26888794,0.20460753,0.17815953,0.24404956,0.17815565,0.17187688
15,0.075961,0.07607792,0.08582151,0.10168407,0.089329205,0.08617228,0.075610235,0.07646767,0.08578254,0.07919587,0.08582151,0.20925328,0.26432014,0.32891235,0.27636322,0.2631548,0.23708095,0.26888794,0.20460753,0.17815953,0.24404956,0.17815565,0.17187688,0.10059279
16,0.07607792,0.08582151,0.10168407,0.089329205,0.08617228,0.075610235,0.07646767,0.08578254,0.07919587,0.08582151,0.20925328,0.26432014,0.32891235,0.27636322,0.2631548,0.23708095,0.26888794,0.20460753,0.17815953,0.24404956,0.17815565,0.17187688,0.10059279,0.08777023
17,0.08582151,0.10168407,0.089329205,0.08617228,0.075610235,0.07646767,0.08578254,0.07919587,0.08582151,0.20925328,0.26432014,0.32891235,0.27636322,0.2631548,0.23708095,0.26888794,0.20460753,0.17815953,0.24404956,0.17815565,0.17187688,0.10059279,0.08777023,0.07685742
18,0.10168407,0.089329205,0.08617228,0.075610235,0.07646767,0.08578254,0.07919587,0.08582151,0.20925328,0.26432014,0.32891235,0.27636322,0.2631548,0.23708095,0.26888794,0.20460753,0.17815953,0.24404956,0.17815565,0.17187688,0.10059279,0.08777023,0.07685742,0.07681844
19,0.089329205,0.08617228,0.075610235,0.07646767,0.08578254,0.07919587,0.08582151,0.20925328,0.26432014,0.32891235,0.27636322,0.2631548,0.23708095,0.26888794,0.20460753,0.17815953,0.24404956,0.17815565,0.17187688,0.10059279,0.08777023,0.07685742,0.07681844,0.08769228
20,0.08617228,0.075610235,0.07646767,0.08578254,0.07919587,0.08582151,0.20925328,0.26432014,0.32891235,0.27636322,0.2631548,0.23708095,0.26888794,0.20460753,0.17815953,0.24404956,0.17815565,0.17187688,0.10059279,0.08777023,0.07685742,0.07681844,0.08769228,0.07958562
21,0.075610235,0.07646767,0.08578254,0.07919587,0.08582151,0.20925328,0.26432014,0.32891235,0.27636322,0.2631548,0.23708095,0.26888794,0.20460753,0.17815953,0.24404956,0.17815565,0.17187688,0.10059279,0.08777023,0.07685742,0.07681844,0.08769228,0.07958562,0.06972511
22,0.07646767,0.08578254,0.07919587,0.08582151,0.20925328,0.26432014,0.32891235,0.27636322,0.2631548,0.23708095,0.26888794,0.20460753,0.17815953,0.24404956,0.17815565,0.17187688,0.10059279,0.08777023,0.07685742,0.07681844,0.08769228,0.07958562,0.06972511,0.06984203
23,0.08578254,0.07919587,0.08582151,0.20925328,0.26432014,0.32891235,0.27636322,0.2631548,0.23708095,0.26888794,0.20460753,0.17815953,0.24404956,0.17815565,0.17187688,0.10059279,0.08777023,0.07685742,0.07681844,0.08769228,0.07958562,0.06972511,0.06984203,0.09942356
24,0.07919587,0.08582151,0.20925328,0.26432014,0.32891235,0.27636322,0.2631548,0.23708095,0.26888794,0.20460753,0.17815953,0.24404956,0.17815565,0.17187688,0.10059279,0.08777023,0.07685742,0.07681844,0.08769228,0.07958562,0.06972511,0.06984203,0.09942356,0.079546645
25,0.08582151,0.20925328,0.26432014,0.32891235,0.27636322,0.2631548,0.23708095,0.26888794,0.20460753,0.17815953,0.24404956,0.17815565,0.17187688,0.10059279,0.08777023,0.07685742,0.07681844,0.08769228,0.07958562,0.06972511,0.06984203,0.09942356,0.079546645,0.07958562
26,0.20925328,0.26432014,0.32891235,0.27636322,0.2631548,0.23708095,0.26888794,0.20460753,0.17815953,0.24404956,0.17815565,0.17187688,0.10059279,0.08777023,0.07685742,0.07681844,0.08769228,0.07958562,0.06972511,0.06984203,0.09942356,0.079546645,0.07958562,0.07985844
27,0.26432014,0.32891235,0.27636322,0.2631548,0.23708095,0.26888794,0.20460753,0.17815953,0.24404956,0.17815565,0.17187688,0.10059279,0.08777023,0.07685742,0.07681844,0.08769228,0.07958562,0.06972511,0.06984203,0.09942356,0.079546645,0.07958562,0.07985844,0.072959974
28,0.32891235,0.27636322,0.2631548,0.23708095,0.26888794,0.20460753,0.17815953,0.24404956,0.17815565,0.17187688,0.10059279,0.08777023,0.07685742,0.07681844,0.08769228,0.07958562,0.06972511,0.06984203,0.09942356,0.079546645,0.07958562,0.07985844,0.072959974,0.07292101
29,0.27636322,0.2631548,0.23708095,0.26888794,0.20460753,0.17815953,0.24404956,0.17815565,0.17187688,0.10059279,0.08777023,0.07685742,0.07681844,0.08769228,0.07958562,0.06972511,0.06984203,0.09942356,0.079546645,0.07958562,0.07985844,0.072959974,0.07292101,0.07334972
30,0.2631548,0.23708095,0.26888794,0.20460753,0.17815953,0.24404956,0.17815565,0.17187688,0.10059279,0.08777023,0.07685742,0.07681844,0.08769228,0.07958562,0.06972511,0.06984203,0.09942356,0.079546645,0.07958562,0.07985844,0.072959974,0.07292101,0.07334972,0.08617228
31,0.23708095,0.26888794,0.20460753,0.17815953,0.24404956,0.17815565,0.17187688,0.10059279,0.08777023,0.07685742,0.07681844,0.08769228,0.07958562,0.06972511,0.06984203,0.09942356,0.079546645,0.07958562,0.07985844,0.072959974,0.07292101,0.07334972,0.08617228,0.0794687
32,0.26888794,0.20460753,0.17815953,0.24404956,0.17815565,0.17187688,0.10059279,0.08777023,0.07685742,0.07681844,0.08769228,0.07958562,0.06972511,0.06984203,0.09942356,0.079546645,0.07958562,0.07985844,0.072959974,0.07292101,0.07334972,0.08617228,0.0794687,0.07997536
33,0.20460753,0.17815953,0.24404956,0.17815565,0.17187688,0.10059279,0.08777023,0.07685742,0.07681844,0.08769228,0.07958562,0.06972511,0.06984203,0.09942356,0.079546645,0.07958562,0.07985844,0.072959974,0.07292101,0.07334972,0.08617228,0.0794687,0.07997536,0.079546645
34,0.17815953,0.24404956,0.17815565,0.17187688,0.10059279,0.08777023,0.07685742,0.07681844,0.08769228,0.07958562,0.06972511,0.06984203,0.09942356,0.079546645,0.07958562,0.07985844,0.072959974,0.07292101,0.07334972,0.08617228,0.0794687,0.07997536,0.079546645,0.070972286
35,0.24404956,0.17815565,0.17187688,0.10059279,0.08777023,0.07685742,0.07681844,0.08769228,0.07958562,0.06972511,0.06984203,0.09942356,0.079546645,0.07958562,0.07985844,0.072959974,0.07292101,0.07334972,0.08617228,0.0794687,0.07997536,0.079546645,0.070972286,0.070972286
36,0.17815565,0.17187688,0.10059279,0.08777023,0.07685742,0.07681844,0.08769228,0.07958562,0.06972511,0.06984203,0.09942356,0.079546645,0.07958562,0.07985844,0.072959974,0.07292101,0.07334972,0.08617228,0.0794687,0.07997536,0.079546645,0.070972286,0.070972286,0.090420485
37,0.17187688,0.10059279,0.08777023,0.07685742,0.07681844,0.08769228,0.07958562,0.06972511,0.06984203,0.09942356,0.079546645,0.07958562,0.07985844,0.072959974,0.07292101,0.07334972,0.08617228,0.0794687,0.07997536,0.079546645,0.070972286,0.070972286,0.090420485,0.112324074
38,0.10059279,0.08777023,0.07685742,0.07681844,0.08769228,0.07958562,0.06972511,0.06984203,0.09942356,0.079546645,0.07958562,0.07985844,0.072959974,0.07292101,0.07334972,0.08617228,0.0794687,0.07997536,0.079546645,0.070972286,0.070972286,0.090420485,0.112324074,0.079546645
39,0.08777023,0.07685742,0.07681844,0.08769228,0.07958562,0.06972511,0.06984203,0.09942356,0.079546645,0.07958562,0.07985844,0.072959974,0.07292101,0.07334972,0.08617228,0.0794687,0.07997536,0.079546645,0.070972286,0.070972286,0.090420485,0.112324074,0.079546645,0.07958562
40,0.07685742,0.07681844,0.08769228,0.07958562,0.06972511,0.06984203,0.09942356,0.079546645,0.07958562,0.07985844,0.072959974,0.07292101,0.07334972,0.08617228,0.0794687,0.07997536,0.079546645,0.070972286,0.070972286,0.090420485,0.112324074,0.079546645,0.07958562,0.0794687
41,0.07681844,0.08769228,0.07958562,0.06972511,0.06984203,0.09942356,0.079546645,0.07958562,0.07985844,0.072959974,0.07292101,0.07334972,0.08617228,0.0794687,0.07997536,0.079546645,0.070972286,0.070972286,0.090420485,0.112324074,0.079546645,0.07958562,0.0794687,0.07529844
42,0.08769228,0.07958562,0.06972511,0.06984203,0.09942356,0.079546645,0.07958562,0.07985844,0.072959974,0.07292101,0.07334972,0.08617228,0.0794687,0.07997536,0.079546645,0.070972286,0.070972286,0.090420485,0.112324074,0.079546645,0.07958562,0.0794687,0.07529844,0.07522049
43,0.07958562,0.06972511,0.06984203,0.09942356,0.079546645,0.07958562,0.07985844,0.072959974,0.07292101,0.07334972,0.08617228,0.0794687,0.07997536,0.079546645,0.070972286,0.070972286,0.090420485,0.112324074,0.079546645,0.07958562,0.0794687,0.07529844,0.07522049,0.07568818
44,0.06972511,0.06984203,0.09942356,0.079546645,0.07958562,0.07985844,0.072959974,0.07292101,0.07334972,0.08617228,0.0794687,0.07997536,0.079546645,0.070972286,0.070972286,0.090420485,0.112324074,0.079546645,0.07958562,0.0794687,0.07529844,0.07522049,0.07568818,0.07958562
45,0.06984203,0.09942356,0.079546645,0.07958562,0.07985844,0.072959974,0.07292101,0.07334972,0.08617228,0.0794687,0.07997536,0.079546645,0.070972286,0.070972286,0.090420485,0.112324074,0.079546645,0.07958562,0.0794687,0.07529844,0.07522049,0.07568818,0.07958562,0.07284305
46,0.09942356,0.079546645,0.07958562,0.07985844,0.072959974,0.07292101,0.07334972,0.08617228,0.0794687,0.07997536,0.079546645,0.070972286,0.070972286,0.090420485,0.112324074,0.079546645,0.07958562,0.0794687,0.07529844,0.07522049,0.07568818,0.07958562,0.07284305,0.07334972
47,0.079546645,0.07958562,0.07985844,0.072959974,0.07292101,0.07334972,0.08617228,0.0794687,0.07997536,0.079546645,0.070972286,0.070972286,0.090420485,0.112324074,0.079546645,0.07958562,0.0794687,0.07529844,0.07522049,0.07568818,0.07958562,0.07284305,0.07334972,0.09279792
